view,prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
ecfp,8421,1024,"[3906, 1179]",5,0.022624870940631113,64,512,512,adamax,0.014919832047974488,0.1377695411599217,True,0.008182763661741517,True,0.23637766130244162,0.0017773966041074217,0.03477614046410976,-0.5615746642475979
ecfp,8421,1024,"[2738, 373, 2155, 2816]",5,0.746487246175936,128,512,512,adam,0.12839792420351973,0.18771695107684355,False,0.029763682557993987,True,0.0005910474897761624,0.010673211423054958,0.00847771305840083,-0.5596599142350844
ecfp,8421,1024,"[4572, 1292, 1979]",5,0.2647180796365379,64,512,512,adam,0.0033166439945024784,0.015727091376757683,False,0.0001038815858682804,False,0.00017005603929535899,0.000148630393550951,0.31637673355211104,-0.553857483823631
ecfp,8421,1024,"[4572, 1292, 1979]",5,0.2647180796365379,64,512,512,adam,0.0033166439945024784,0.015727091376757683,False,0.0001038815858682804,False,0.00017005603929535899,0.000148630393550951,0.31637673355211104,-0.5532705320896276
ecfp,8421,1024,"[1588, 1997, 3796, 2484]",5,0.09174922045978993,32,512,512,adamax,0.003174143832136622,0.1321873950223789,True,0.02026991006018992,True,0.48748672829039563,0.03834644783417242,0.0035232256746423993,-0.5515086857490225
ecfp,8421,1024,"[3906, 1179]",5,0.022624870940631113,64,512,512,adamax,0.014919832047974488,0.1377695411599217,True,0.008182763661741517,True,0.23637766130244162,0.0017773966041074217,0.03477614046410976,-0.5471318041390074
ecfp,8421,1024,"[2738, 373, 2155, 2816]",5,0.746487246175936,128,512,512,adam,0.12839792420351973,0.18771695107684355,False,0.029763682557993987,True,0.0005910474897761624,0.010673211423054958,0.00847771305840083,-0.5463742079415759
ecfp,8421,1024,"[631, 1186, 2582]",5,0.08969162167401273,128,512,512,adam,0.20617408542085292,0.04131867425559704,False,0.08827935444721635,False,0.006086423873462356,0.00015938310485583447,0.00030114543406197983,-0.5391881882366634
ecfp,8421,1024,"[3224, 3599, 2332]",5,0.15357396786567976,512,512,512,adam,0.09979974713181944,0.16716626880383215,False,0.0003502644854103577,False,0.0001256952671530538,0.06247734149104982,0.17892182289382655,-0.5390434831790157
ecfp,8421,1024,"[3906, 1179]",5,0.022624870940631113,64,512,512,adamax,0.014919832047974488,0.1377695411599217,True,0.008182763661741517,True,0.23637766130244162,0.0017773966041074217,0.03477614046410976,-0.5363354784577197
ecfp,8421,1024,"[2738, 373, 2155, 2816]",5,0.746487246175936,128,512,512,adam,0.12839792420351973,0.18771695107684355,False,0.029763682557993987,True,0.0005910474897761624,0.010673211423054958,0.00847771305840083,-0.5360409453406526
ecfp,8421,1024,"[2738, 373, 2155, 2816]",5,0.746487246175936,128,512,512,adam,0.12839792420351973,0.18771695107684355,False,0.029763682557993987,True,0.0005910474897761624,0.010673211423054958,0.00847771305840083,-0.5356484422617608
ecfp,8421,1024,"[2738, 373, 2155, 2816]",5,0.746487246175936,128,512,512,adam,0.12839792420351973,0.18771695107684355,False,0.029763682557993987,True,0.0005910474897761624,0.010673211423054958,0.00847771305840083,-0.5355773843148465
ecfp,8421,1024,"[3906, 1179]",5,0.022624870940631113,64,512,512,adamax,0.014919832047974488,0.1377695411599217,True,0.008182763661741517,True,0.23637766130244162,0.0017773966041074217,0.03477614046410976,-0.5326896583840098
ecfp,8421,1024,"[631, 1186, 2582]",5,0.08969162167401273,128,512,512,adam,0.20617408542085292,0.04131867425559704,False,0.08827935444721635,False,0.006086423873462356,0.00015938310485583447,0.00030114543406197983,-0.5321499223952953
ecfp,8421,1024,"[1093, 4340, 3258]",5,0.704040024064954,32,512,512,adam,0.3626595122916695,0.00048438444476546125,True,0.00226879262281422,True,0.0080169084416602,0.35727181339121333,0.0030950447900826065,-0.5282751550140998
ecfp,8421,1024,"[631, 1186, 2582]",5,0.08969162167401273,128,512,512,adam,0.20617408542085292,0.04131867425559704,False,0.08827935444721635,False,0.006086423873462356,0.00015938310485583447,0.00030114543406197983,-0.5270817804262982
ecfp,8421,1024,"[4572, 1292, 1979]",5,0.2647180796365379,64,512,512,adam,0.0033166439945024784,0.015727091376757683,False,0.0001038815858682804,False,0.00017005603929535899,0.000148630393550951,0.31637673355211104,-0.5180571004260844
ecfp,8421,1024,"[1093, 4340, 3258]",5,0.704040024064954,32,512,512,adam,0.3626595122916695,0.00048438444476546125,True,0.00226879262281422,True,0.0080169084416602,0.35727181339121333,0.0030950447900826065,-0.5128112084446221
ecfp,8421,1024,"[2448, 2433]",5,0.3851767663661028,32,512,512,adadelta,0.006841326088812231,0.00010221976417259238,False,0.01703005937469898,True,0.00043784685626427225,0.00013853792142795444,0.0028778108281410242,-0.5118970117697815
ecfp,8421,1024,"[2448, 2433]",5,0.3851767663661028,32,512,512,adadelta,0.006841326088812231,0.00010221976417259238,False,0.01703005937469898,True,0.00043784685626427225,0.00013853792142795444,0.0028778108281410242,-0.5097281993101276
ecfp,8421,1024,"[4841, 1094, 3892]",5,0.3714861760342479,256,512,512,adam,0.03929801163744233,0.10307768675092434,False,0.26224999011932465,True,0.00023069874056449066,0.0029274819239000485,0.14920201001779584,-0.5088608831470004
ecfp,8421,1024,"[3906, 1179]",5,0.022624870940631113,64,512,512,adamax,0.014919832047974488,0.1377695411599217,True,0.008182763661741517,True,0.23637766130244162,0.0017773966041074217,0.03477614046410976,-0.5074616106635069
ecfp,8421,1024,2504,5,0.057946100245877645,512,512,512,adamax,0.055558106919734444,0.934231494632588,True,0.0005763613915381999,True,0.010220651727227026,0.0041060031449478415,0.0005301291659375363,-0.5034487447721514
ecfp,8421,1024,"[2448, 2433]",5,0.3851767663661028,32,512,512,adadelta,0.006841326088812231,0.00010221976417259238,False,0.01703005937469898,True,0.00043784685626427225,0.00013853792142795444,0.0028778108281410242,-0.5024534332815316
ecfp,8421,1024,"[631, 1186, 2582]",5,0.08969162167401273,128,512,512,adam,0.20617408542085292,0.04131867425559704,False,0.08827935444721635,False,0.006086423873462356,0.00015938310485583447,0.00030114543406197983,-0.49942628096917097
ecfp,8421,1024,"[4572, 1292, 1979]",5,0.2647180796365379,64,512,512,adam,0.0033166439945024784,0.015727091376757683,False,0.0001038815858682804,False,0.00017005603929535899,0.000148630393550951,0.31637673355211104,-0.49662576238178313
ecfp,8421,1024,"[1093, 4340, 3258]",5,0.704040024064954,32,512,512,adam,0.3626595122916695,0.00048438444476546125,True,0.00226879262281422,True,0.0080169084416602,0.35727181339121333,0.0030950447900826065,-0.48988473633544716
ecfp,8421,1024,"[2448, 2433]",5,0.3851767663661028,32,512,512,adadelta,0.006841326088812231,0.00010221976417259238,False,0.01703005937469898,True,0.00043784685626427225,0.00013853792142795444,0.0028778108281410242,-0.48942765814539924
ecfp,8421,1024,"[1093, 4340, 3258]",5,0.704040024064954,32,512,512,adam,0.3626595122916695,0.00048438444476546125,True,0.00226879262281422,True,0.0080169084416602,0.35727181339121333,0.0030950447900826065,-0.4852938388876301
ecfp,8421,1024,"[1093, 4340, 3258]",5,0.704040024064954,32,512,512,adam,0.3626595122916695,0.00048438444476546125,True,0.00226879262281422,True,0.0080169084416602,0.35727181339121333,0.0030950447900826065,-0.48344748302109164
ecfp,8421,1024,2504,5,0.057946100245877645,512,512,512,adamax,0.055558106919734444,0.934231494632588,True,0.0005763613915381999,True,0.010220651727227026,0.0041060031449478415,0.0005301291659375363,-0.4614275017690151
ecfp,8421,1024,"[2448, 2433]",5,0.3851767663661028,32,512,512,adadelta,0.006841326088812231,0.00010221976417259238,False,0.01703005937469898,True,0.00043784685626427225,0.00013853792142795444,0.0028778108281410242,-0.459976070046292
ecfp,8421,1024,2504,5,0.057946100245877645,512,512,512,adamax,0.055558106919734444,0.934231494632588,True,0.0005763613915381999,True,0.010220651727227026,0.0041060031449478415,0.0005301291659375363,-0.4342835642993944
ecfp,8421,1024,"[4841, 1094, 3892]",5,0.3714861760342479,256,512,512,adam,0.03929801163744233,0.10307768675092434,False,0.26224999011932465,True,0.00023069874056449066,0.0029274819239000485,0.14920201001779584,-0.422526919690272
