prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__sgd__weight_decay,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__sgd__lr,optimizer__adam__weight_decay,optimizer__adam__lr,optimizer__adam__amsgrad,optimizer__adadelta__lr,optimizer__adadelta__weight_decay,optimizer__adadelta__rho,optimizer__adagrad__lr,optimizer__adagrad__lr_decay,optimizer__adagrad__weight_decay,optimizer__adamax__lr,optimizer__adamax__weight_decay,optimizer__rmsprop__lr,optimizer__rmsprop__weight_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
8421,1024,"[3710, 1602, 4316]",4,0.07895333180807006,128,512,512,adadelta,0.0011169105085938318,True,0.007478155724632509,0.007459155340067519,0.002899987766155658,0.00040019607388910096,True,0.0012889215049603328,0.051069822050525036,0.035714566043029326,0.1221650779631915,0.066856527296119,0.002992922730182325,0.42813451438371275,0.018416000127050833,0.018903792722959698,0.010598871074605358,0.019800622263578854,False,-0.06773506957396822
8421,1024,"[3508, 1645]",5,0.07296903693621623,256,512,512,rmsprop,0.07399259566534458,True,0.043332732108003764,0.0017494920533842428,0.00033306027832292204,0.08487596261508291,True,0.0004485272279555525,0.08278303443837146,0.007581444415066027,0.19884256505921055,0.054971073283496735,0.0002726237056340618,0.18995680993231479,0.010537441854636731,0.1415166653446388,0.008250732846834684,0.22887598547322852,False,-0.8649301454355008
8421,1024,"[4368, 1925]",2,0.09673672147145909,512,512,512,adadelta,0.030150959875632013,False,0.9626345147136841,0.002804851858839495,0.5880414504204503,0.6728098985065236,True,0.0008890565016081524,0.0337706143947578,0.00032062024154330205,0.762614512820708,0.006191916805277459,0.10939815165597183,0.0002889215627997708,0.014422691111316431,0.1687791047347661,0.06686979409337762,0.0005349213920901685,False,-0.22877535689233622
8421,1024,"[1486, 3768]",9,0.7622960840362503,512,512,512,sgd,0.005572833522443302,True,0.039069035116713856,0.0029436391171289377,0.00032175397378433147,0.21303267529281017,True,0.0004956549980799106,0.5472097568184349,0.9518901798479558,0.0002832835850685792,0.00022632235863834796,0.15935618064846604,0.7758798265424692,0.0005378489454961161,0.10781756632015856,0.5965789862028578,0.5367309766101652,False,-0.27416404447388654
8421,1024,[4674],4,0.02096589007242522,64,512,512,adadelta,0.0008701930673650501,True,0.004669986752107472,0.0005503325348566654,0.04484711045126157,0.00019484698125457159,True,0.0009849723627253948,0.48239650988823624,0.0003651267884888429,0.0005175872233165987,0.00022935771938492226,0.3058265672142812,0.4708468308326041,0.2794716177372346,0.025263013816302606,0.020080409062638794,0.005638018350580765,False,-0.09741152658485173
8421,1024,[1406],9,0.014313395707417086,32,512,512,adagrad,0.0020200404063539217,False,0.00013715430034954188,0.43447069791765236,0.5854630045824011,0.004445599390085457,True,0.00020796739274352472,0.06083361232767287,0.010665692777425231,0.00012093684385522628,0.05081207446214925,0.17447423403517023,0.06012894266613808,0.04202931374486767,0.0019137219868880474,0.6091721167465287,0.0005937244809302268,False,-0.30447359085134135
8421,1024,[3486],6,0.14635847585583434,32,512,512,adam,0.11142955012686785,False,0.6715965116273291,0.061974446245925505,0.00011958348494170784,0.0069499344712812255,True,0.011491116462049093,0.00011134888216878029,0.03156878665108484,0.4091168486857743,0.014202505094289834,0.00014059896899323854,0.04292176236247205,0.0006372488598895612,0.0006376974423602654,0.14689493217732577,0.016847256683657285,True,-0.10994762293456038
8421,1024,"[2127, 3434]",5,0.012786692073342485,32,512,512,adadelta,0.0010507024556214676,False,0.0001175641903808068,0.21258515355837782,0.012636338911962754,0.006371446828853378,True,0.026652934953281367,0.0004442991555110928,0.0024741712478156676,0.00015290168344043892,0.012359448448357731,0.0003050884816851374,0.0006779050494476245,0.08681002958645016,0.0008917577742169917,0.0005117459556442006,0.0387284858886729,True,0.061134651631335316
8421,1024,"[3007, 1477]",4,0.7253208563039258,32,512,512,adagrad,0.0024316829724503387,False,0.0030681319782846195,0.00013488221172096567,0.07487380514730327,0.10337602173243796,False,0.7274781018192554,0.010816813029836666,0.9917033063665172,0.00027746331993852097,0.043894500811373305,0.002997279320574516,0.04755254976976652,0.00027799759941427797,0.001209791249815983,0.41948545035216445,0.0014900305443010403,True,-0.3907537754346973
8421,1024,"[690, 1903]",6,0.04347043659139793,32,512,512,adamax,0.04025415695791301,True,0.14980954505576433,0.04514835009150625,0.049158704535969946,0.0002957301443146488,True,0.00014541831195666143,0.02040922847819235,0.10468099591380704,0.33916126875741986,0.062486552889322276,0.26238866150542806,0.4278146087668259,0.003874995595223224,0.034934151631952945,0.005517198756032771,0.17165526045358587,True,-0.4774682674452083
8421,1024,"[969, 4360]",3,0.040928949149789076,32,512,512,adam,0.00015318333584231857,False,0.001764016435264543,0.1523293288435915,0.013099207032830814,0.0005809576959118019,True,0.44706331013830886,0.04100351794709224,0.0001669313253701685,0.010845212753361297,0.08304145122811803,0.03616638675103792,0.14367774056416052,0.020663304295270073,0.134232674033001,0.000413990114388691,0.014959518109323113,False,-0.09305711146362637
8421,1024,"[3024, 4199]",5,0.8187735753973043,32,512,512,adam,0.2186423208594659,False,0.00917050159204494,0.0649223057718896,0.00015812243722123384,0.0005446727415794135,False,0.00011235582905691045,0.023193135487402223,0.00237852427663219,0.02384444433488271,0.09345608352448745,0.4670778753331914,0.08821828598900582,0.08205037796313304,0.02543569924966619,0.18216119888266447,0.00015301231531118708,False,-0.14831053217484894
8421,1024,"[3795, 2248, 2769, 2117]",5,0.07392271395788466,256,512,512,rmsprop,0.2309510681827871,True,0.01325473188022968,0.0036420176352328355,0.0005184831155310705,0.011898602843221924,False,0.1520173320497384,0.000826912869805892,0.33433558209733644,0.00011537077600583523,0.09413240528469181,0.02605115040529632,0.00274273096693981,0.0038035004873835146,0.00023539537088093407,0.00014668786400881173,0.006220822334437528,False,0.3265571803110185
8421,1024,"[1120, 3569, 455]",9,0.04403615281626085,512,512,512,adadelta,0.00011956680701985018,False,0.021776385527757416,0.0010508437640549852,0.14082313415176756,0.026963962573887005,True,0.00026578993350661435,0.010326855746431917,0.019752286602366487,0.05989829323718959,0.00021508239256916897,0.008501707458982263,0.0006079873267386375,0.0003710161810967046,0.00020439514775322712,0.061161350132706994,0.043727694865160587,True,-0.4164177667642267
8421,1024,[748],8,0.11077554700824398,128,512,512,adagrad,0.00011735717839020287,True,0.0022663392111541606,0.030656496225335353,0.28662021107909474,0.005563417194225319,True,0.10231690296700195,0.00795307566259994,0.007068808618829029,0.0013576459970961704,0.03635219206177359,0.0006442725368411663,0.003078311780981174,0.7025440692976084,0.006517543122789039,0.00035673984417040037,0.005366650954089746,False,-0.12183374507489719
8421,1024,"[2495, 2233, 3551]",3,0.024721323755780795,64,512,512,adam,0.00034215971983614526,False,0.033520372374840575,0.00032679206388217305,0.004335087117417231,0.0008312803901287363,True,0.0030477095206055626,0.13375974565606688,0.0005926816673068562,0.015225635071883155,0.0004158286458814142,0.8139089897707686,0.7144547509958702,0.6993516156111522,0.0010842269432213708,0.0011714846585235408,0.0022225933340625516,True,0.018315157594441838
8421,1024,"[279, 3291]",6,0.04950910041763818,512,512,512,rmsprop,0.0007979396065008112,False,0.002367416234288354,0.005654911905699465,0.004100068727366986,0.20091954083963587,False,0.21657428731842324,0.0009597089818046853,0.00012186918363102351,0.00011190900780116064,0.000705530526236074,0.019103422823989157,0.3177055803673536,0.10638406981915664,0.32466670053278357,0.0002923740707307056,0.006048099581680328,True,-12.934870249767387
8421,1024,"[1186, 961]",3,0.19492598939499434,512,512,512,adamax,0.8551336620256011,False,0.00031489131514377184,0.01527709370096805,0.034507820229570906,0.08000183604271598,True,0.00015473523056003068,0.0005827677914879928,0.2192212034967111,0.14852508187809157,0.002386677821300585,0.0008736613820457062,0.0005737736752928237,0.2221514921464294,0.00011574089807992614,0.12268507612991549,0.004388723978529483,False,0.16395384505668062
8421,1024,"[1857, 2597, 2206]",7,0.02955867237092062,128,512,512,rmsprop,0.4956598530652126,True,0.08763711712559719,0.00016808966831895084,0.0002398204251548141,0.016811822351351244,False,0.08204132280201584,0.011564341442020504,0.04430895985091961,0.0008006739903229722,0.01247077861187511,0.0003300030716051027,0.00010396161069001042,0.13202500724560445,0.003575316484655434,0.0004073716085382498,0.00016559737958413335,False,0.13836451417488188
8421,1024,[2718],7,0.06393656798601938,256,512,512,sgd,0.0009603589329129112,False,0.004533066616792249,0.00045545476642572415,0.018901548782289463,0.0031633131531938834,False,0.0009508290333170173,0.006618308427668817,0.201312915183811,0.0002418483521274742,0.1501927154354909,0.0025108858707672075,0.00017951989605036913,0.12755029845511315,0.12482622508487834,0.00039149332195201195,0.0004890799916553513,True,-0.1892424501276677
8421,1024,"[3743, 623, 3073, 3247]",9,0.015893399136636288,512,512,512,sgd,0.0018226219640210663,True,0.39732157709998256,0.006621349558442811,0.04091658579873403,0.02726570775149195,False,0.0059780791620026984,0.8778590235219117,0.0004068291085978843,0.00020526767039326968,0.006278866339387821,0.08470626505538989,0.00010940672025448511,0.02932404518105903,0.0016802674828256775,0.0017385605110707327,0.018313179041174996,False,0.01901519149345625
8421,1024,[4956],5,0.07105580855261924,128,512,512,rmsprop,0.8182466817348854,True,0.00020709189139812715,0.030548796007025095,0.0725374400629705,0.004826744262749192,False,0.8842294927570907,0.0016082245662630828,0.005500914944844194,0.003281684590419979,0.0025931334773922833,0.024513871699427973,0.026800378085834325,0.0002902455335104772,0.0001629593100506663,0.10255232753616472,0.0013417843285507723,False,0.014334487457881554
